STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
1393,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",DAMAN & DIU,30.60,6.70,7.50,203.00,NAN,0.10,11.00,27.00,2014.00
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,29.80,5.70,7.20,189.00,2.00,0.20,4953.00,8391.00,2014.00
1475,ZUARI AT PANCHAWADI,GOA,29.50,6.30,6.90,179.00,1.70,0.10,3243.00,5330.00,2014.00
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,29.70,5.80,6.90,64.00,3.80,0.50,5382.00,8443.00,2014.00
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,29.50,5.80,7.30,83.00,1.90,0.40,3428.00,5500.00,2014.00
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,30.00,5.50,7.40,81.00,1.50,0.10,2853.00,4049.00,2014.00
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,29.20,6.10,6.70,308.00,1.40,0.30,3355.00,5672.00,2014.00
3185,RIVER MANDOVI AT AMONA BRIDGE,GOA,29.60,6.40,6.70,414.00,1.00,0.20,6073.00,9423.00,2014.00
3186,RIVER MANDOVI AT IFFI JETTY,GOA,30.00,6.40,7.60,305.00,2.20,0.10,3478.00,4990.00,2014.00
3187,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,30.10,6.30,7.60,77.00,2.30,0.10,2606.00,4301.00,2014.00
1543,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,27.80,7.10,7.10,176.00,1.20,0.10,4573.00,7817.00,2014.00
1548,"RIVER ASSONORA AT ASSONORA, GOA",GOA,27.90,6.70,6.40,93.00,1.40,0.10,2147.00,3433.00,2014.00
